Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR4342137.1	51.03773789555195	44.0	101.0	36.36363636363637	1304686.0
SRR4342137.2	43.616861461211606	44.0	101.0	36.36363636363637	1304686.0
SRR4342137_paired_forward	42.31643597125062	43.0	98.50360857375418	0.0	884560.0
SRR4342137_paired_reverse	34.9735916709995	43.0	96.44164104187392	9.090909090909092	884560.0
SRR4342137_unpaired_forward	32.3490864919592	45.0	75.26970558811668	27.27272727272727	190923.0
SRR4342137_unpaired_reverse	1.7380509000620776	47.0	75.42396027312229	9.090909090909092	1611.0
SRR4342139.1	60.33826223096438	44.0	101.0	45.45454545454545	1213040.0
SRR4342139.2	52.214007656106766	44.0	101.0	54.54545454545454	1213040.0
SRR4342139_paired_forward	50.852202602119455	43.0	98.56249249982135	9.090909090909092	741649.0
SRR4342139_paired_reverse	42.09185730148858	42.0	96.3546475489079	9.090909090909092	741649.0
SRR4342139_unpaired_forward	30.252896895421515	45.0	73.50234857090229	36.36363636363637	162865.0
SRR4342139_unpaired_reverse	1.1505273250239583	47.0	77.47459252157239	18.181818181818183	1043.0
