All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    bin_26 
# contigs (>= 0 bp)         292    
# contigs (>= 1000 bp)      292    
# contigs (>= 5000 bp)      193    
# contigs (>= 10000 bp)     88     
# contigs (>= 25000 bp)     15     
# contigs (>= 50000 bp)     0      
Total length (>= 0 bp)      2646649
Total length (>= 1000 bp)   2646649
Total length (>= 5000 bp)   2293462
Total length (>= 10000 bp)  1542873
Total length (>= 25000 bp)  498469 
Total length (>= 50000 bp)  0      
# contigs                   292    
Largest contig              46788  
Total length                2646649
GC (%)                      45.75  
N50                         11899  
N75                         7125   
L50                         68     
L75                         142    
# N's per 100 kbp           0.00   
